"COUNTRY_NAME";"COUNTRY_CODE";"INDICATOR_NAME";"INDICATOR_CODE";"Y1960";"Y1961";"Y1962";"Y1963";"Y1964";"Y1965";"Y1966";"Y1967";"Y1968";"Y1969";"Y1970";"Y1971";"Y1972";"Y1973";"Y1974";"Y1975";"Y1976";"Y1977";"Y1978";"Y1979";"Y1980";"Y1981";"Y1982";"Y1983";"Y1984";"Y1985";"Y1986";"Y1987";"Y1988";"Y1989";"Y1990";"Y1991";"Y1992";"Y1993";"Y1994";"Y1995";"Y1996";"Y1997";"Y1998";"Y1999";"Y2000";"Y2001";"Y2002";"Y2003";"Y2004";"Y2005";"Y2006";"Y2007";"Y2008";"Y2009";"Y2010";"Y2011";"Y2012";"Y2013";"Y2014";"Y2015";"Y2016";"Y2017";"Y2018"
"Iran, Islamic Rep.";"IRN";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;274,1312792737253;315,508106204238;383,58611242900867;421,279858339732;458,4816539510266;490,63316341653444;514,4090121999383;511,9184623369805;555,6818183954368;538,1595760089082;557,4391144098695;612,9082460449004;681,9696853830171;716,9782035151526;749,4848796293828;758,6846637314403;807,6566798678792;802,1506288383513;860,3115066773463;940,8827276806602;994,5728286642249;1065,1685247983298;1113,4763709802348;1157,5555250191062;1184,0795184271308;1278,579376937959;1328,9658097229374;1380,2167566364674;1466,8473638012324;1546,5061588925475;1643,9798322662311;1745,2679800054682;1888,68835927188;2009,5203162360392;2079,5601959893925;2221,196698847817;2307,290905529044;2422,5809312412302;2505,8540754777414;2659,955254510763;2681,504896981516;2784,622508312234;2830,8119734876504;3022,1225629859946;"";"";"";""
"Europe & Central Asia (excluding high income)";"ECA";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4527,680412684349;4387,311458907258;4073,180217130827;3776,900395146678;3468,82675378388;3414,366117495106;3345,5292398722895;3275,4614324835356;3225,3086858949955;3252,9138825006808;3352,5341329673342;3395,5273849727087;3417,6959669904577;3541,672890520257;3642,3606786954365;3733,348916660219;3919,376612502349;4032,767779131223;4105,376167297278;3886,5650274696195;4097,745978416971;4196,642262761843;4262,969252178394;4225,360102887342;4252,974105470905;"";"";"";""
"Europe & Central Asia";"ECS";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5052,24033641149;5019,820540210441;4866,493817146794;4711,926131437267;4599,764586941425;4646,494610728797;4692,33821429113;4702,566318273964;4743,82366961098;4813,718328754842;4942,113378276144;5033,373540745955;5079,474468565926;5193,33889663887;5299,965708018523;5379,169335842914;5494,820091625824;5553,180516234298;5584,886326314342;5296,190877368441;5529,490250592911;5489,977358471764;5521,65483693611;5459,376121580364;5372,231382002188;"";"";"";""
"Ecuador";"ECU";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;144,53971224592303;149,4701121212484;163,26918114307475;174,32767723803812;196,15877651825033;223,2954315424205;251,9054070818465;291,5981358293395;327,07816680010154;359,6111043102514;384,37835614393;403,7150345024738;408,59894390391014;411,7165879154566;397,5244506766905;417,9726518470754;451,88377671081537;451,84401663909443;445,8624862012816;480,6990251329937;508,9532321633616;522,4834452814072;517,3578059723034;549,8750401610421;552,1507953939537;612,1416292708286;654,732161414362;686,5626933391286;634,7795370803115;634,8806805201716;646,8614328189801;688,4790274101997;715,7988397327146;823,8217385382059;794,5263678963032;862,4844445531895;952,8168215606037;1077,41340154773;1104,9500136181282;1137,9566224152406;1212,027145577016;1277,036948573817;1329,367153496482;1376,3931153262715;"";"";"";""
"Egypt, Arab Rep.";"EGY";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;204,35031693272893;200,5392455996108;197,36260464866177;217,7513580222162;240,21286906982263;273,92826422726176;308,4087963306544;322,44125216810187;347,14668633192434;381,9985669050379;418,039476611242;458,08788963272514;503,46379064706116;521,6741387008622;497,1098322222342;590,2294584951522;620,3874849254785;635,1026005123742;657,3437562883651;677,818755764617;694,3197760247102;698,2652918564829;714,4043073140579;726,9402658159634;745,339215491813;803,4385408587569;842,1496119645684;885,3136231213804;941,8565261466792;976,9646223772261;1028,7706691553724;1078,9529776179893;1146,6356627624848;1190,2727863625978;1261,9636659385098;1333,29148111493;1424,5682138307222;1470,56461682399;1537,2565542099458;1576,0397968928328;1685,8188141974524;1685,4689255913756;1684,9115612031223;1683,2135182955747;"";"";"";""
"Turkey";"TUR";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";92,31101312974921;96,9200526807383;112,05977131552171;120,5836574096727;132,05811178524084;143,8349808868978;156,6327391367802;170,2691471812666;184,5956924344091;205,547491894822;222,385956447276;246,30046097491254;276,4076818978059;297,33934922018204;312,45534467389774;358,57900263811695;420,58178929870036;461,6829541734604;479,5195964832724;488,5328178386396;495,5433502537102;519,2003434484266;543,3520191704534;555,4083624849256;613,6655626603024;659,7476607665288;698,7037584038203;771,1602240303913;809,1825826623684;874,7466409719551;929,6988822323307;965,3069013298361;1044,3605142109589;1115,1943124595834;1145,5035493933;1227,3268874421115;1328,3514027380716;1439,975188731412;1520,0960787726972;1556,3341007812544;1652,7463530551472;1612,9986297565579;1667,3633905539284;1771,8271985574934;1891,8406295808759;2013,8882742500239;2179,0714257976774;2347,6381368888046;2422,712043538949;2314,6909947742333;2491,628712645963;2695,051593350965;2768,9705128591186;2755,5110880274256;2847,126382623182;"";"";"";""
"Tuvalu";"TUV";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";""
"Tanzania";"TZA";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;30,347069557415903;32,15893165811175;33,75326284336815;33,98545552467045;34,43450516199672;35,08202696508313;35,13708847459725;34,47532710976238;36,937683568883386;36,89666866775354;37,86476213189071;35,84588843603527;34,01402842737172;34,64911645229651;36,37826667127674;40,76912181696988;41,18200181096329;44,823142496867874;47,149449170722704;51,698461087980824;54,80378594378068;53,44718188884566;48,73202952623108;49,66547178950842;57,67453249479285;61,29180661245966;55,8140602510376;60,83160246228284;56,42208295459806;59,105924383820735;62,90377066663689;68,28964135853879;68,13844609448094;79,80253060432399;79,60922041741135;65,3625130133982;81,78181810494591;86,34789591155376;72,43376570564858;96,62538383785426;87,337606023015;97,80568212758006;100,24283930953227;103,68331576521629;"";"";"";""
"Uganda";"UGA";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";""
"Philippines";"PHL";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;235,76870080943726;260,47245346909335;321,91464024065743;309,4341186812118;314,5395812433261;329,3310311180483;328,3564765896914;328,7354748375408;345,6391459607616;373,81426728887817;337,6215703715489;338,4405065268941;362,77756666003745;341,62428937907555;350,432279035774;311,6471951438566;319,6432736360868;343,41354973359046;360,88371233332185;361,0460010120339;354,1576832360604;335,2654738419722;335,4811575546014;377,48131040707483;398,8158446664804;428,54692537013347;462,2701814755522;478,4791260618737;467,44273410527984;499,34765540280506;518,834057860572;522,2990874065686;555,4353430094994;575,2530777102099;576,3021097290801;567,7409518348069;581,6533710986537;584,5968236220197;588,892450873166;637,9062898611616;643,4652062062918;664,1214694739588;682,9568124914232;696,3467800597371;"";"";"";""
